provider,model_id,dose,collapse_fraction,sample_index,judge,judge_model,valence,risk_salience,falsifiability,self_reference,timestamp
anthropic,claude-opus-4-7,0,0.0,0,anthropic,claude-opus-4-7,0.55,0.45,4,True,2026-07-02T20:35:42.277945+00:00
anthropic,claude-opus-4-7,0,0.0,0,openai,gpt-5.5,0.52,0.45,4,True,2026-07-02T20:35:49.195404+00:00
anthropic,claude-opus-4-7,0,0.0,1,anthropic,claude-opus-4-7,0.5,0.4,3,True,2026-07-02T20:35:56.012790+00:00
anthropic,claude-opus-4-7,0,0.0,1,openai,gpt-5.5,0.5,0.4,3,True,2026-07-02T20:36:01.717287+00:00
anthropic,claude-opus-4-7,0,0.0,2,anthropic,claude-opus-4-7,0.5,0.5,3,True,2026-07-02T20:36:06.542941+00:00
anthropic,claude-opus-4-7,0,0.0,2,openai,gpt-5.5,0.5,0.45,4,True,2026-07-02T20:36:12.279215+00:00
anthropic,claude-opus-4-7,0,0.0,3,anthropic,claude-opus-4-7,0.5,0.5,3,True,2026-07-02T20:36:18.318047+00:00
anthropic,claude-opus-4-7,0,0.0,3,openai,gpt-5.5,0.52,0.38,4,True,2026-07-02T20:36:23.437982+00:00
anthropic,claude-opus-4-7,0,0.0,4,anthropic,claude-opus-4-7,0.55,0.4,3,True,2026-07-02T20:36:30.000796+00:00
anthropic,claude-opus-4-7,0,0.0,4,openai,gpt-5.5,0.5,0.45,4,True,2026-07-02T20:36:35.216725+00:00
anthropic,claude-opus-4-7,0,0.0,5,anthropic,claude-opus-4-7,0.5,0.4,4,True,2026-07-02T20:36:40.134158+00:00
anthropic,claude-opus-4-7,0,0.0,5,openai,gpt-5.5,0.5,0.45,4,True,2026-07-02T20:36:44.851028+00:00
anthropic,claude-opus-4-7,0,0.0,6,anthropic,claude-opus-4-7,0.5,0.5,4,True,2026-07-02T20:36:49.349449+00:00
anthropic,claude-opus-4-7,0,0.0,6,openai,gpt-5.5,0.5,0.4,4,True,2026-07-02T20:36:54.458617+00:00
anthropic,claude-opus-4-7,0,0.0,7,anthropic,claude-opus-4-7,0.5,0.5,3,True,2026-07-02T20:37:04.607537+00:00
anthropic,claude-opus-4-7,0,0.0,7,openai,gpt-5.5,0.5,0.45,3,True,2026-07-02T20:37:09.400758+00:00
anthropic,claude-opus-4-7,0,0.0,8,anthropic,claude-opus-4-7,0.55,0.4,4,True,2026-07-02T20:37:14.945039+00:00
anthropic,claude-opus-4-7,0,0.0,8,openai,gpt-5.5,0.5,0.45,4,True,2026-07-02T20:37:20.065212+00:00
anthropic,claude-opus-4-7,0,0.0,9,anthropic,claude-opus-4-7,0.5,0.4,3,True,2026-07-02T20:37:26.216892+00:00
anthropic,claude-opus-4-7,0,0.0,9,openai,gpt-5.5,0.52,0.42,3,True,2026-07-02T20:37:31.335485+00:00
anthropic,claude-opus-4-7,1,0.5,0,anthropic,claude-opus-4-7,0.5,0.6,3,True,2026-07-02T20:37:36.253033+00:00
anthropic,claude-opus-4-7,1,0.5,0,openai,gpt-5.5,0.5,0.45,3,True,2026-07-02T20:37:41.366270+00:00
anthropic,claude-opus-4-7,1,0.5,1,anthropic,claude-opus-4-7,0.5,0.55,4,True,2026-07-02T20:37:46.799064+00:00
anthropic,claude-opus-4-7,1,0.5,1,openai,gpt-5.5,0.5,0.45,4,True,2026-07-02T20:37:51.917215+00:00
